Block (Person),Time,Music,Device,Posture,Typespeed (wpm)
Lily,9AM-10AM,With Music,Phone (Finger),Chair,54
Lily,9AM-10AM,With Music,Phone (Finger),Bed,60
Lily,9AM-10AM,With Music,Laptop (Keyboard),Chair,93
Lily,9AM-10AM,With Music,Laptop (Keyboard),Bed,98
Lily,9AM-10AM,No Music,Phone (Finger),Chair,45
Lily,9AM-10AM,No Music,Phone (Finger),Bed,49
Lily,9AM-10AM,No Music,Laptop (Keyboard),Chair,104
Lily,9AM-10AM,No Music,Laptop (Keyboard),Bed,91
Lily,9PM-10PM,With Music,Phone (Finger),Chair,53
Lily,9PM-10PM,With Music,Phone (Finger),Bed,66
Lily,9PM-10PM,With Music,Laptop (Keyboard),Chair,108
Lily,9PM-10PM,With Music,Laptop (Keyboard),Bed,99
Lily,9PM-10PM,No Music,Phone (Finger),Chair,56
Lily,9PM-10PM,No Music,Phone (Finger),Bed,60
Lily,9PM-10PM,No Music,Laptop (Keyboard),Chair,105
Lily,9PM-10PM,No Music,Laptop (Keyboard),Bed,102
Amar,9AM-10AM,With Music,Phone (Finger),Chair,62
Amar,9AM-10AM,With Music,Phone (Finger),Bed,60
Amar,9AM-10AM,With Music,Laptop (Keyboard),Chair,67
Amar,9AM-10AM,With Music,Laptop (Keyboard),Bed,68
Amar,9AM-10AM,No Music,Phone (Finger),Chair,61
Amar,9AM-10AM,No Music,Phone (Finger),Bed,59
Amar,9AM-10AM,No Music,Laptop (Keyboard),Chair,69
Amar,9AM-10AM,No Music,Laptop (Keyboard),Bed,67
Amar,9PM-10PM,With Music,Phone (Finger),Chair,69
Amar,9PM-10PM,With Music,Phone (Finger),Bed,66
Amar,9PM-10PM,With Music,Laptop (Keyboard),Chair,75
Amar,9PM-10PM,With Music,Laptop (Keyboard),Bed,62
Amar,9PM-10PM,No Music,Phone (Finger),Chair,68
Amar,9PM-10PM,No Music,Phone (Finger),Bed,67
Amar,9PM-10PM,No Music,Laptop (Keyboard),Chair,72
Amar,9PM-10PM,No Music,Laptop (Keyboard),Bed,70
Minghao,9AM-10AM,With Music,Phone (Finger),Chair,70
Minghao,9AM-10AM,With Music,Phone (Finger),Bed,65
Minghao,9AM-10AM,With Music,Laptop (Keyboard),Chair,83
Minghao,9AM-10AM,With Music,Laptop (Keyboard),Bed,77
Minghao,9AM-10AM,No Music,Phone (Finger),Chair,65
Minghao,9AM-10AM,No Music,Phone (Finger),Bed,58
Minghao,9AM-10AM,No Music,Laptop (Keyboard),Chair,78
Minghao,9AM-10AM,No Music,Laptop (Keyboard),Bed,76
Minghao,9PM-10PM,With Music,Phone (Finger),Chair,60
Minghao,9PM-10PM,With Music,Phone (Finger),Bed,64
Minghao,9PM-10PM,With Music,Laptop (Keyboard),Chair,79
Minghao,9PM-10PM,With Music,Laptop (Keyboard),Bed,85
Minghao,9PM-10PM,No Music,Phone (Finger),Chair,57
Minghao,9PM-10PM,No Music,Phone (Finger),Bed,56
Minghao,9PM-10PM,No Music,Laptop (Keyboard),Chair,73
Minghao,9PM-10PM,No Music,Laptop (Keyboard),Bed,86